"Date","Price","Open","High","Low","Vol.","Change %"
2022- 02- 16,"91,900","90,200","92,100","89,600",2.46M,4.08%
2022- 02- 15,"88,300","89,200","91,000","87,900",2.22M,-0.56%
2022- 02- 14,"88,800","90,300","90,800","87,500",3.98M,-3.16%
2022- 02- 13,"88,800","90,300","90,800","87,500",0,0%
2022- 02- 11,"91,700","87,300","93,600","85,300",6.97M,5.04%
2022- 02- 10,"87,300","86,900","89,400","86,000",3.36M,1.39%
2022- 02- 09,"86,100","86,900","87,300","85,700",1.61M,-0.46%
2022- 02- 08,"86,500","88,000","89,200","86,000",2.01M,-1.70%
2022- 02- 07,"88,000","87,300","88,000","85,000",2.21M,1.03%
2022- 02- 06,"88,000","87,300","88,000","85,000",0,0%
2022- 02- 04,"87,100","85,100","87,500","84,500",1.86M,2.35%
2022- 02- 03,"85,100","87,100","88,300","85,100",2.84M,0.12%
2022- 01- 28,"85,000","82,800","85,600","82,200",2.94M,2.91%
2022- 01- 27,"82,600","87,000","87,500","82,600",3.75M,-4.95%
2022- 01- 26,"86,900","87,300","88,600","86,600",2.19M,-0.80%
2022- 01- 25,"87,600","90,300","90,700","87,500",2.79M,-2.67%
2022- 01- 24,"90,000","90,900","92,100","89,700",2.00M,-1.96%
2022- 01- 23,"90,000","90,900","92,100","89,700",0,0%
2022- 01- 21,"91,800","91,100","94,100","90,600",2.95M,-0.54%
2022- 01- 20,"92,300","90,800","92,700","88,800",2.99M,2.10%
2022- 01- 19,"90,400","88,400","90,400","87,300",4.56M,-1.74%
2022- 01- 18,"92,000","92,900","94,400","92,000",1.61M,-0.97%
2022- 01- 17,"92,900","92,900","94,300","92,000",2.57M,-1.06%
2022- 01- 16,"92,900","92,900","94,300","92,000",0,0%
2022- 01- 14,"93,900","95,200","95,300","93,600",2.67M,-2.90%
2022- 01- 13,"96,700","97,500","98,200","96,200",2.51M,-0.51%
2022- 01- 12,"97,200","96,100","98,600","96,100",3.34M,2.32%
2022- 01- 11,"95,000","96,000","97,200","94,500",4.36M,-1.66%
2022- 01- 10,"96,600","100,000","100,500","95,200",5.35M,-3.40%
2022- 01- 09,"96,600","100,000","100,500","95,200",0,0%
2022- 01- 07,"100,000","100,000","101,500","99,800",3.87M,0.00%
2022- 01- 06,"100,000","102,500","103,000","99,900",7.10M,-5.21%
2022- 01- 05,"105,500","111,000","111,000","105,000",5.08M,-5.38%
