"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 12- 07","183,500","183,000","187,500","182,500","641.30K","-1.08%"
"2022- 12- 06","185,500","189,500","190,000","185,000","864.70K","-3.13%"
"2022- 12- 05","191,500","187,000","195,000","186,500","1.22M","3.23%"
"2022- 12- 04","185,500","185,500","185,500","185,500","","0.00%"
"2022- 12- 02","185,500","188,000","190,500","185,500","792.18K","-1.07%"
"2022- 12- 01","187,500","194,500","195,000","187,500","1.15M","0.27%"
"2022- 11- 30","187,000","181,500","187,000","180,500","851.31K","2.47%"
"2022- 11- 29","182,500","178,500","183,500","178,500","476.46K","1.11%"
"2022- 11- 28","180,500","184,000","184,500","180,500","547.71K","-2.43%"
"2022- 11- 27","185,000","185,000","185,000","185,000","","0.00%"
"2022- 11- 25","185,000","187,000","189,000","185,000","438.06K","-1.60%"
"2022- 11- 24","188,000","183,000","188,000","182,500","894.57K","3.58%"
"2022- 11- 23","181,500","184,000","186,000","181,000","775.59K","0.55%"
"2022- 11- 22","180,500","181,500","184,500","179,500","627.29K","-1.10%"
"2022- 11- 21","182,500","186,000","187,500","181,000","611.35K","-1.62%"
"2022- 11- 20","185,500","185,500","185,500","185,500","","0.00%"
"2022- 11- 18","185,500","187,500","190,000","184,500","748.65K","-1.33%"
"2022- 11- 17","188,000","188,000","189,500","186,500","823.19K","-0.79%"
"2022- 11- 16","189,500","194,000","194,500","187,000","1.13M","-1.30%"
"2022- 11- 15","192,000","190,000","192,500","188,000","883.49K","1.86%"
"2022- 11- 14","188,500","194,000","194,500","188,000","1.77M","-2.58%"
"2022- 11- 13","193,500","193,500","193,500","193,500","","0.00%"
"2022- 11- 11","193,500","189,000","196,500","186,000","3.28M","9.94%"
"2022- 11- 10","176,000","177,500","180,000","176,000","967.86K","-2.22%"
"2022- 11- 09","180,000","178,500","183,000","177,500","1.59M","1.41%"
"2022- 11- 08","177,500","172,000","179,000","171,000","2.54M","5.03%"
"2022- 11- 07","169,000","177,000","178,000","168,000","2.12M","-2.87%"
"2022- 11- 06","174,000","174,000","174,000","174,000","","0.00%"
"2022- 11- 04","174,000","167,500","174,500","167,500","1.24M","2.96%"
"2022- 11- 03","169,000","168,500","170,500","166,000","1.01M","-2.87%"
"2022- 11- 02","174,000","170,000","177,000","169,000","1.55M","2.05%"
"2022- 11- 01","170,500","168,000","171,000","166,500","760.36K","0.59%"
"2022- 10- 31","169,500","163,500","170,500","161,500","1.58M","5.94%"
"2022- 10- 30","160,000","160,000","160,000","160,000","","0.00%"
"2022- 10- 28","160,000","158,000","161,000","157,000","772.63K","-0.62%"
"2022- 10- 27","161,000","159,000","162,000","156,000","1.05M","0.94%"
"2022- 10- 26","159,500","165,000","165,000","159,000","1.34M","-3.63%"
"2022- 10- 25","165,500","164,500","167,000","164,000","541.06K","0.91%"
"2022- 10- 24","164,000","169,000","170,000","163,000","883.58K","-1.20%"
"2022- 10- 23","166,000","166,000","166,000","166,000","","0.00%"
"2022- 10- 21","166,000","165,000","168,000","164,000","741.23K","-1.48%"
"2022- 10- 20","168,500","168,000","168,500","163,000","1.09M","0.00%"
"2022- 10- 19","168,500","172,500","173,500","168,500","1.17M","-2.32%"
"2022- 10- 18","172,500","170,500","173,000","169,000","1.41M","3.29%"
"2022- 10- 17","167,000","162,500","168,000","160,500","1.43M","0.91%"
"2022- 10- 16","165,500","165,500","165,500","165,500","","0.00%"
"2022- 10- 14","165,500","163,500","168,500","163,000","1.56M","4.42%"
"2022- 10- 13","158,500","160,500","161,000","155,000","1.45M","-2.16%"
"2022- 10- 12","162,000","158,500","164,500","158,000","1.50M","2.21%"
"2022- 10- 11","158,500","156,500","159,500","156,000","1.82M","-0.94%"
"2022- 10- 10","160,000","160,000","160,000","160,000","","0.00%"
"2022- 10- 07","160,000","164,000","167,500","159,500","2.51M","-4.19%"
"2022- 10- 06","167,000","163,500","169,000","163,000","3.40M","1.83%"
"2022- 10- 05","164,000","170,500","176,000","164,000","6.58M","-7.08%"
"2022- 10- 04","176,500","192,000","192,000","175,500","3.71M","-8.79%"
