"Date","Price","Open","High","Low","Vol.","Change %"
"2021- 12- 22","206,500","207,000","209,500","205,500","0.01K","0.73%"
"2021- 12- 21","205,000","206,000","207,500","204,000","0.00K","0.00%"
"2021- 12- 20","205,000","209,000","209,000","204,500","0.23K","-2.15%"
"2021- 12- 19","209,500","209,500","209,500","209,500","","0.00%"
"2021- 12- 17","209,500","208,500","211,500","208,000","616.65K","0.00%"
"2021- 12- 16","209,500","211,000","212,000","208,000","0.01K","0.24%"
"2021- 12- 15","209,000","210,000","211,500","208,500","0.00K","-0.95%"
"2021- 12- 14","211,000","208,000","212,000","207,500","0.01K","0.96%"
"2021- 12- 13","209,000","210,000","214,000","209,000","0.21K","0.72%"
"2021- 12- 12","207,500","207,500","207,500","207,500","","0.00%"
"2021- 12- 10","207,500","207,000","209,500","205,500","442.54K","0.24%"
"2021- 12- 09","207,000","207,000","210,000","206,500","773.27K","-0.24%"
"2021- 12- 08","207,500","209,500","211,000","207,000","0.26K","0.00%"
"2021- 12- 07","207,500","206,000","208,000","204,000","0.02K","0.48%"
"2021- 12- 06","206,500","204,500","208,000","202,500","0.09K","0.24%"
"2021- 12- 05","206,000","206,000","206,000","206,000","","0.00%"
"2021- 12- 03","206,000","205,500","208,000","204,500","512.81K","0.24%"
"2021- 12- 02","205,500","199,000","206,000","198,000","0.03K","2.24%"
"2021- 12- 01","201,000","197,000","202,000","196,500","0.01K","2.81%"
"2021- 11- 30","195,500","202,500","203,500","194,500","0.63K","-2.49%"
"2021- 11- 29","200,500","199,500","203,500","199,500","895.46K","-2.43%"
"2021- 11- 28","205,500","205,500","205,500","205,500","","0.00%"
"2021- 11- 26","205,500","209,500","210,000","204,000","885.85K","-2.14%"
"2021- 11- 25","210,000","212,500","212,500","210,000","0.02K","-0.94%"
"2021- 11- 24","212,000","215,500","216,000","211,000","0.02K","-1.40%"
"2021- 11- 23","215,000","219,000","219,000","213,500","0.85K","-1.60%"
"2021- 11- 22","218,500","209,500","220,000","208,000","1.34K","4.30%"
"2021- 11- 21","209,500","209,500","209,500","209,500","","0.00%"
"2021- 11- 19","209,500","211,500","212,500","208,000","824.85K","2.20%"
"2021- 11- 18","205,000","205,500","206,500","204,000","524.37K","-0.97%"
"2021- 11- 17","207,000","206,500","209,000","203,000","713.46K","0.24%"
"2021- 11- 16","206,500","208,000","208,000","205,000","0.31K","-1.20%"
"2021- 11- 15","209,000","208,500","210,000","207,500","0.05K","0.48%"
"2021- 11- 14","208,000","208,000","208,000","208,000","","0.00%"
"2021- 11- 12","208,000","205,000","209,500","205,000","413.88K","1.46%"
"2021- 11- 11","205,000","205,500","206,500","203,500","0.25K","-1.68%"
"2021- 11- 10","208,500","211,000","211,500","207,000","0.05K","-2.11%"
"2021- 11- 09","213,000","215,500","217,000","212,000","0.25K","-0.93%"
"2021- 11- 08","215,000","214,500","216,000","212,500","0.11K","0.00%"
"2021- 11- 07","215,000","215,000","215,000","215,000","","0.00%"
"2021- 11- 05","215,000","216,500","217,000","214,000","679.68K","0.47%"
"2021- 11- 04","214,000","210,500","216,000","210,000","0.02K","2.64%"
"2021- 11- 03","208,500","211,000","212,000","207,000","474.68K","-0.71%"
"2021- 11- 02","210,000","208,000","211,500","207,500","0.00K","0.96%"
"2021- 11- 01","208,000","208,500","209,500","207,000","0.16K","0.00%"
"2021- 10- 31","208,000","208,000","208,000","208,000","","0.00%"
"2021- 10- 29","208,000","211,500","212,500","206,500","616.26K","-0.95%"
"2021- 10- 28","210,000","212,500","214,000","209,500","0.00K","-1.64%"
"2021- 10- 27","213,500","214,500","215,000","212,500","0.50K","0.00%"
"2021- 10- 26","213,500","213,000","214,500","209,000","0.43K","1.18%"
"2021- 10- 25","211,000","207,500","212,000","206,000","0.00K","1.69%"
"2021- 10- 24","207,500","207,500","207,500","207,500","","0.00%"
"2021- 10- 22","207,500","207,000","209,500","206,000","359.41K","0.00%"
"2021- 10- 21","207,500","210,000","211,000","206,000","0.07K","-0.72%"
"2021- 10- 20","209,000","210,000","211,000","208,000","0.17K","0.00%"
"2021- 10- 19","209,000","210,500","212,000","208,000","426.63K","-0.24%"
"2021- 10- 18","209,500","208,500","210,500","205,000","0.14K","0.48%"
"2021- 10- 17","208,500","208,500","208,500","208,500","","0.00%"
"2021- 10- 15","208,500","210,500","211,500","208,000","528.28K","-0.24%"
"2021- 10- 14","209,000","211,000","212,000","208,000","0.05K","-0.95%"
"2021- 10- 13","211,000","206,500","211,500","206,500","0.08K","3.18%"
